Period;Group;Series;Average
1987 January;Swedish Government Bonds;SE GVB 2Y;11.5317
1987 February;Swedish Government Bonds;SE GVB 2Y;11.219
1987 March;Swedish Government Bonds;SE GVB 2Y;10.8805
1987 April;Swedish Government Bonds;SE GVB 2Y;10.7685
1987 May;Swedish Government Bonds;SE GVB 2Y;11.0468
1987 June;Swedish Government Bonds;SE GVB 2Y;10.9085
1987 July;Swedish Government Bonds;SE GVB 2Y;10.7239
1987 August;Swedish Government Bonds;SE GVB 2Y;10.9929
1987 September;Swedish Government Bonds;SE GVB 2Y;11.1218
1987 October;Swedish Government Bonds;SE GVB 2Y;11.0818
1987 November;Swedish Government Bonds;SE GVB 2Y;10.7367
1987 December;Swedish Government Bonds;SE GVB 2Y;10.6885
1988 January;Swedish Government Bonds;SE GVB 2Y;10.8679
1988 February;Swedish Government Bonds;SE GVB 2Y;10.5443
1988 March;Swedish Government Bonds;SE GVB 2Y;10.5557
1988 April;Swedish Government Bonds;SE GVB 2Y;10.6358
1988 May;Swedish Government Bonds;SE GVB 2Y;10.9055
1988 June;Swedish Government Bonds;SE GVB 2Y;10.7705
1988 July;Swedish Government Bonds;SE GVB 2Y;10.8919
1988 August;Swedish Government Bonds;SE GVB 2Y;11.1865
1988 September;Swedish Government Bonds;SE GVB 2Y;11.1368
1988 October;Swedish Government Bonds;SE GVB 2Y;11.1438
1988 November;Swedish Government Bonds;SE GVB 2Y;11.1555
1988 December;Swedish Government Bonds;SE GVB 2Y;11.1595
1989 January;Swedish Government Bonds;SE GVB 2Y;10.6157
1989 February;Swedish Government Bonds;SE GVB 2Y;10.7215
1989 March;Swedish Government Bonds;SE GVB 2Y;11.3633
1989 April;Swedish Government Bonds;SE GVB 2Y;11.556
1989 May;Swedish Government Bonds;SE GVB 2Y;11.483
1989 June;Swedish Government Bonds;SE GVB 2Y;11.4486
1989 July;Swedish Government Bonds;SE GVB 2Y;11.4205
1989 August;Swedish Government Bonds;SE GVB 2Y;11.4109
1989 September;Swedish Government Bonds;SE GVB 2Y;11.461
1989 October;Swedish Government Bonds;SE GVB 2Y;11.7477
1989 November;Swedish Government Bonds;SE GVB 2Y;12.3932
1989 December;Swedish Government Bonds;SE GVB 2Y;13.3595
1990 January;Swedish Government Bonds;SE GVB 2Y;13.766
1990 February;Swedish Government Bonds;SE GVB 2Y;15.2838
1990 March;Swedish Government Bonds;SE GVB 2Y;15.0477
1990 April;Swedish Government Bonds;SE GVB 2Y;14.4884
1990 May;Swedish Government Bonds;SE GVB 2Y;13.8786
1990 June;Swedish Government Bonds;SE GVB 2Y;13.5011
1990 July;Swedish Government Bonds;SE GVB 2Y;13.4386
1990 August;Swedish Government Bonds;SE GVB 2Y;13.8987
1990 September;Swedish Government Bonds;SE GVB 2Y;14.3225
1990 October;Swedish Government Bonds;SE GVB 2Y;14.5978
1990 November;Swedish Government Bonds;SE GVB 2Y;14.4423
1990 December;Swedish Government Bonds;SE GVB 2Y;14.0976
1991 January;Swedish Government Bonds;SE GVB 2Y;12.9645
1991 February;Swedish Government Bonds;SE GVB 2Y;12.047
1991 March;Swedish Government Bonds;SE GVB 2Y;11.9875
1991 April;Swedish Government Bonds;SE GVB 2Y;12.1129
1991 May;Swedish Government Bonds;SE GVB 2Y;11.562
1991 June;Swedish Government Bonds;SE GVB 2Y;11.0711
1991 July;Swedish Government Bonds;SE GVB 2Y;11.0639
1991 August;Swedish Government Bonds;SE GVB 2Y;11.1309
1991 September;Swedish Government Bonds;SE GVB 2Y;10.7733
1991 October;Swedish Government Bonds;SE GVB 2Y;10.757
1991 November;Swedish Government Bonds;SE GVB 2Y;10.8414
1991 December;Swedish Government Bonds;SE GVB 2Y;11.6656
1992 January;Swedish Government Bonds;SE GVB 2Y;10.7562
1992 February;Swedish Government Bonds;SE GVB 2Y;10.9275
1992 March;Swedish Government Bonds;SE GVB 2Y;10.8377
1992 April;Swedish Government Bonds;SE GVB 2Y;11.1175
1992 May;Swedish Government Bonds;SE GVB 2Y;11.1979
1992 June;Swedish Government Bonds;SE GVB 2Y;11.3395
1992 July;Swedish Government Bonds;SE GVB 2Y;11.2148
1992 August;Swedish Government Bonds;SE GVB 2Y;12.1462
1992 September;Swedish Government Bonds;SE GVB 2Y;13.5023
1992 October;Swedish Government Bonds;SE GVB 2Y;12.4214
1992 November;Swedish Government Bonds;SE GVB 2Y;11.1862
1992 December;Swedish Government Bonds;SE GVB 2Y;9.653
1993 January;Swedish Government Bonds;SE GVB 2Y;9.4147
1993 February;Swedish Government Bonds;SE GVB 2Y;8.8615
1993 March;Swedish Government Bonds;SE GVB 2Y;8.5096
1993 April;Swedish Government Bonds;SE GVB 2Y;8.517
1993 May;Swedish Government Bonds;SE GVB 2Y;8.0816
